"Index","Commit","MappedCommit","Parents","Date","Author","Subject","Category","Disposition","PortCommit","Notes"
"1","f3468c0ae2d60d24776e97a73c9a3b512b23c212","bc2965f8a235018647b450b78fb9558efe5f51ea","","2023-05-15T16:15:06-07:00","IntegraMOD","Initial commit","upstream","merged","8390004044",""
"2","98bcc6c2f7453da914300e4cb14ff79cc07f459a","10d4e9c227b4a6271c1ef8a95465fd28e2beb896","f3468c0ae2d60d24776e97a73c9a3b512b23c212","2023-05-15T16:26:59-07:00","IntegraMOD","Update README.md","upstream","merged","8390004044",""
"3","ec9bc5b5b6bb44780265b24c8bf3efc38b548b7a","20df25b71dcfbc84ada2755f1a70710c1dd933c4","98bcc6c2f7453da914300e4cb14ff79cc07f459a","2023-05-15T16:28:11-07:00","IntegraMOD","Update README.md","upstream","merged","8390004044",""
"4","99cdcd45ee1870bb3b773c2bb3a0e271109bdec9","1fc5bb41b8dd777d922446389f51554627777292","ec9bc5b5b6bb44780265b24c8bf3efc38b548b7a","2023-05-15T16:31:16-07:00","IntegraMOD","Update README.md","upstream","merged","8390004044",""
"5","26abff5fccf719697d22c75f7f075288e8e5741e","c7178a39dfaaf93dbdf9c1df6c1f5e7f05f289d9","99cdcd45ee1870bb3b773c2bb3a0e271109bdec9","2023-05-15T16:33:23-07:00","IntegraMOD","Update README.md","upstream","merged","8390004044",""
"6","1fcb58ef5b7e08ce7db594ec46fdb6b8c9fced7a","1e758a65e1adeef32b976aea32374aa6f6d77f87","26abff5fccf719697d22c75f7f075288e8e5741e","2023-05-15T17:03:30-07:00","IntegraMOD","original phpBB2.0.23","base","already-present","57c44026ea","Mapped phpBB 2.0.23 snapshot used as the explicit merge base."
"7","ee67d29d8c882c38a13f21cea6b89b7c0d724322","e60e49f32665d22407dfe0be6406f91daff37f9c","1fcb58ef5b7e08ce7db594ec46fdb6b8c9fced7a","2023-05-15T17:07:35-07:00","IntegraMOD","phpBB 2.0.25","upstream","merged","8390004044",""
"8","43957d762adb249576d28148ea4e6a6e34dfd5eb","63e61d6f16c3a220772e4d68ea03af20ffbd6c9d","ee67d29d8c882c38a13f21cea6b89b7c0d724322","2023-05-16T14:28:30-07:00","IntegraMOD","updated FIsubIce navbar","upstream","merged","8390004044",""
"9","3ee8330731efad52d5ad0ba014462c5d3fdde4ca","d6a95031901a35d7ed10e0f21a7490dbd1a28e39","43957d762adb249576d28148ea4e6a6e34dfd5eb","2023-05-16T14:31:50-07:00","IntegraMOD","Update overall_footer.tpl","upstream","merged","8390004044",""
"10","621e444a2594ba8856dc6101f74b5a888ff18451","66ce3524aa581ae71b2ddb031314fca21a347dac","3ee8330731efad52d5ad0ba014462c5d3fdde4ca","2023-05-19T01:49:37-07:00","IntegraMOD","template updates","upstream","merged","8390004044",""
"11","751781dadf3f2df931f3b198507bd920ef466e6c","b93cb21de73963705153065ef6a615d32a139a13","621e444a2594ba8856dc6101f74b5a888ff18451","2023-06-09T23:29:49-07:00","IntegraMOD","updates","upstream","merged","8390004044",""
"12","c52e96d63409ff5d602080299e4d62f6e6407b46","d7a42f8086607bc59eb06c058c1d42d41cf1d46c","751781dadf3f2df931f3b198507bd920ef466e6c","2023-06-10T10:02:45-07:00","IntegraMOD","removed template","upstream","merged","8390004044",""
"13","f4645c6708593e10a3323a6674529def109405b2","b13b2aec067d074f189acc2c9a93e45cad26ceac","c52e96d63409ff5d602080299e4d62f6e6407b46","2023-06-25T21:34:43-07:00","IntegraMOD","BS_subIce BS_subSilver","upstream","merged","8390004044",""
"14","40e0967fc4bb204250da73567f65f527a7f11fcf","6cb181aad0f0eff362897499cebec0791bdfa6eb","f4645c6708593e10a3323a6674529def109405b2","2023-06-25T22:04:16-07:00","IntegraMOD","misc","upstream","merged","8390004044",""
"15","43ce53d5301c8de3db1112e106b3924db2617e56","d8ed81023d644af7b2dc2817191ea7a1ddea270d","40e0967fc4bb204250da73567f65f527a7f11fcf","2023-06-25T22:06:14-07:00","IntegraMOD","rem xs files","upstream","merged","8390004044",""
"16","04d8f736625b1084b1228e460b85505bcd3a564d","8109766e81a726c5d1a9589ca94f194f01c72d7d","43ce53d5301c8de3db1112e106b3924db2617e56","2023-06-26T18:05:33-07:00","IntegraMOD","minor template button fixes","upstream","merged","8390004044",""
"17","b20b41e45f8e1abb2347d10cddb62feaa6a75267","3d389356ce7cb86ac094b7a8b0ce3fc30555bf20","04d8f736625b1084b1228e460b85505bcd3a564d","2023-06-26T18:23:33-07:00","IntegraMOD","resize textbox","upstream","merged","8390004044",""
"18","d85d6f2ae5dbffcc15b6035483c639ff8f84df9b","640a21e3efdf93ee03ec26e3386be566418fb7a2","b20b41e45f8e1abb2347d10cddb62feaa6a75267","2023-06-26T21:10:04-07:00","IntegraMOD","template tweaks","upstream","merged","8390004044",""
"19","4aa8f3cdf144595fea33979ac1bc916ae8f7dc1e","9bf67463ce6649c15f20cf2d138330dcdf059226","d85d6f2ae5dbffcc15b6035483c639ff8f84df9b","2023-07-01T07:34:38-07:00","IntegraMOD","template tweaks","upstream","merged","8390004044",""
"20","d17b773a6d83bcfb929ca2cf28305a0b44ae5f1d","9d91390f8aa348772b4ee04effa314e7a3e72d52","4aa8f3cdf144595fea33979ac1bc916ae8f7dc1e","2023-07-01T08:15:03-07:00","IntegraMOD","Create admin.css","upstream","merged","8390004044",""
"21","389e9c6da809efe65d01b40ae4be93bf29baac0c","f8c93455be655db76478350ef7643d352e695947","d17b773a6d83bcfb929ca2cf28305a0b44ae5f1d","2023-07-05T20:47:17-07:00","IntegraMOD","sn link updates and template tweeks","upstream","merged","8390004044",""
"22","2c8baf7b4025b37b759ee07c37b3a9f5d458c5f9","11e96c111fd1b3cae6b3366e3a7a002c2e94011f","389e9c6da809efe65d01b40ae4be93bf29baac0c","2023-07-05T20:53:18-07:00","IntegraMOD","Update README.md","upstream","merged","8390004044",""
"23","78adcadc26afa40477ddb4fc260e01e66e544057","0149fc1eca2ba165a910d848ba316dd27c601b0c","2c8baf7b4025b37b759ee07c37b3a9f5d458c5f9","2023-07-09T13:06:37-07:00","IntegraMOD","updates","upstream","merged","8390004044",""
"24","57d80bc038c3d991be7c2f5f89d569036202ee87","1cb1ef7a824bef6a24aa3fdd3a94d5d842e8d9c8","78adcadc26afa40477ddb4fc260e01e66e544057","2023-07-09T22:34:52-07:00","IntegraMOD","php updates","upstream","merged","8390004044",""
"25","75e933b42ea837ad644ffcc283b1b6930e6ebdc5","78036eaafe15566c40c5c9740ccf1a3f37a12840","57d80bc038c3d991be7c2f5f89d569036202ee87","2023-07-10T14:05:52-07:00","IntegraMOD","php fixes","upstream","merged","8390004044",""
"26","5946a0d8a07b87def01c4b325701e47009876cc6","ef7c0b5b1babc60517d3b1f76d0f6ad828a6d108","75e933b42ea837ad644ffcc283b1b6930e6ebdc5","2023-07-13T21:51:09-07:00","IntegraMOD","removed sn","upstream","merged","8390004044",""
"27","a66b31e684240821c34297a87c57751106c851d5","3bf22b9b87f251c51357f7d4887ec9c9b1ff24ad","5946a0d8a07b87def01c4b325701e47009876cc6","2023-07-15T13:09:48-07:00","IntegraMOD","count","upstream","merged","8390004044",""
"28","77c3116101009d3e27e7b064ee4a0d5b93f7d99c","63b3eb48a6f84662894d209259f817dd3579d650","a66b31e684240821c34297a87c57751106c851d5","2023-07-22T17:25:57-07:00","IntegraMOD","utf-8 support","encoding-and-languages","ported","8390004044","UTF-8 changes merged; language packs were deliberately filtered to English and German."
"29","48059cf4e9ee6c21b876d6e1f6c43eda92570f0d","c4ebd5636e21e33378f855299bedc652a86404d2","77c3116101009d3e27e7b064ee4a0d5b93f7d99c","2023-07-23T12:42:01-07:00","IntegraMOD","page generation time","upstream","merged","8390004044",""
"30","6cc9fe44c37e32b5ec8be9710bc5bdd67f90b4ff","b80e4ae71015921c9096936e4ae22a9610bfdb48","48059cf4e9ee6c21b876d6e1f6c43eda92570f0d","2023-07-26T07:23:31-07:00","IntegraMOD","page generation time fix","upstream","merged","8390004044",""
