"Index","SourceCommit","Date","Subject","Disposition","PortCommit","Notes"
"1","47619514b792947f421da37284b6b98cf2bc46b3","2026-08-18","docs: record original distribution comparison","not-applicable","","Private comparison record"
"2","0276033b63f7e334b4d087e2d8c848d834509a5d","2026-08-18","fix: restore PHP 5.6 album downloads and BBCode","ported","638e8973a723923ba12ffb36df8f72a7d8432ec9","Reconciled with newer BBCode compatibility layer and smoke tests"
"3","809b110a76bcdd747fbdeecfe00604b9e708cf91","2026-08-18","build: add guarded SFTP test deployment","not-applicable","","Installation-specific deployment automation"
"4","cacd6187c7515371747086def63f7599084f8791","2026-08-18","test: add reproducible PHP 5.6 suite","ported","638e8973a723923ba12ffb36df8f72a7d8432ec9","Portable smoke tests retained; local runner superseded by repository integration checks"
"5","8f86df550dd469d39c47171e567667345e05b0f7","2026-08-18","build: add incremental deployment with remote backup","not-applicable","","Installation-specific deployment automation"
"6","44e7874e408faba5255fae58b0c45a8ec5f8fe06","2026-08-18","build: enforce pinned SSH host keys","not-applicable","","Installation-specific deployment automation"
"7","09ee03a4ee67f05bf2531162fc2ce4b6678e591f","2026-08-18","fix: restore PHP 5.6 portal","already-present","6dc4107dd5b0542d7a7c1da1ed8d672f59621b46","Equivalent portal behavior was present before this integration"
"8","9b6548767c846c59be250766e39b6355eb754f12","2026-08-18","fix: canonicalize HTTPS redirect","not-applicable","","Installation-specific hostname redirect"
"9","d7915a3382d1ea9fbf3f7bd9eb7a59dca6b189ea","2026-08-18","docs: record PHP 5.6 live restoration","not-applicable","","Private deployment record"
"10","5ab0c6c57cfc05ca37b689ce256137d08443c733","2026-08-18","fix: restore missing news topic images","already-present","6dc4107dd5b0542d7a7c1da1ed8d672f59621b46","Required assets were already present"
"11","b2d235ace96dcd074b41518d4517408654c81bff","2026-08-18","docs: record news image deployment","not-applicable","","Private deployment record"
"12","825be0ef45045dd7b89fc544a8d6086bcc2969bc","2026-08-18","docs: complete authenticated PHP 5.6 checks","not-applicable","","Private acceptance record"
"13","f455174c6f96e5216b5d03d131694c50081d02c7","2026-08-18","fix: pin legacy MySQL connection to latin1","superseded","ea05e9647bfc8c84fd5ebd576d9fc198b62d95a9","Replaced by the verified UTF-8 runtime and utf8mb4 migration path"
"14","1fc7a5adf5f17a4d9dfd531038a8ff3f419a9033","2026-08-18","docs: record database charset recovery","not-applicable","","Private recovery record"
"15","129f471dbeaca4b1a22849f21df265e936b53f99","2026-08-18","fix: restore portal as default start page","already-present","6dc4107dd5b0542d7a7c1da1ed8d672f59621b46","Public web-root configuration already lists portal.php first"
"16","c7475af93b98de6a236639b615848669e30f97fc","2026-08-18","docs: record portal start page deployment","not-applicable","","Private deployment record"
"17","2aa3af5df812ccf6b8e1fd0f32b6fe0fa619147b","2026-08-19","Begin PHP 8.5 compatibility migration","ported","ba853337c760dd3a076f102e4f359f664cdee239","Initial PHP 8.5 fixes reconciled with the combined tree"
"18","9dd32f49b0a2d02d0f15fbf5d66c8680c7c881aa","2026-08-19","Migrate source to UTF-8 and harden PHP 8 runtime","ported","ea05e9647bfc8c84fd5ebd576d9fc198b62d95a9","Source normalization and runtime hardening ported; search fixes completed separately"
"19","c1eb83ee10ce290e343659932b60cb7799e74962","2026-08-19","Add verified utf8mb4 database migration","ported","9313df460ae369b8332df40920db6ac1cd752665","Migration tooling adapted to the repository layout"
"20","7646d4b61e0d10f38d5a3f0c41a675e060c6a0ee","2026-08-19","Remove remaining PHP 8 admin fatal errors","ported","487daa255071474515f5806d049ddd55c52391a2",""
"21","750035f943fdce1b784acdf3f6a5297546daae89","2026-08-19","Finish PHP compatibility across legacy modules","ported","080641a4219b5220be8c6bc9c4bd16f850912148",""
"22","3fab90aebddb8c178c71de6dbe713e4d80b7d908","2026-08-19","docs: record PHP compatibility deployment","not-applicable","","Private deployment record"
"23","2203addc4776e4041e61c8987f1856b2ee9757b5","2026-08-19","docs: record PHP 8.5 production verification","not-applicable","","Private verification record"
"24","420dfc9eae57abc1fa0657bd1f517c90c9303d4f","2026-08-19","docs: record authenticated PHP 8.5 acceptance","not-applicable","","Private acceptance record"
"25","43b6f2b67cf89fb3aad06e67995e216fab6bf0bf","2026-08-19","docs: record user cache encoding repair","not-applicable","","Installation data repair record"
"26","dcae5f25e39b0e35360051e41596497458dc1ae3","2026-08-19","Complete utf8mb4 production tooling","ported","9313df460ae369b8332df40920db6ac1cd752665","Includes the optional search-index rebuild tool"
"27","b0d63e13f2034c8884042c7b9ea1fedbfee8f88c","2026-08-19","Document production utf8mb4 cutover","not-applicable","","Private cutover record; generic migration guidance retained"
"28","45428ffd1087114745c513cf05c239bf88214272","2026-08-19","Record authenticated UTF-8 acceptance","not-applicable","","Private acceptance record"
"29","8b7ea96f2c5253df3f6d398d8e6bfe4903545f93","2026-08-19","Add protected production error logging","ported","046083cdbd14da5a0a43b283f047ecd7ef1bad2f","Generalized with a protected runtime directory and permission rules"
"30","7ea018e9b2697e1b987f0325e766f807d26ebf77","2026-08-19","Fix PHP 8 album image output and add test sessions","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899","Product fixes retained; private test-session tooling excluded"
"31","dce09f005ca7b0d907d35b2ef1deb3c03310f33f","2026-08-25","Fix PHP 8 album upload and image responses","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"32","0335c5346f801e5734ca7e1db4ef60532265e128","2026-08-25","Fix PHP 8 posting and album write paths","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"33","f7fca9e7b42ab0d16cb4f65e14e2de854ce8ec83","2026-08-25","Add German invalid-session message","ported","f48103e3b085aabdda67f3c16fa94ff4b8c58853",""
"34","eb36d1288a4ef8e655c12a5167e4b9e0cd96589b","2026-08-25","Fix remaining portal and topic warnings","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"35","3ec338a64f274cb9ccbf274c3839875ae8b573cf","2026-08-25","Add exact album test cleanup","not-applicable","","Private acceptance-data cleanup"
"36","e1da73da5f12a84484d4473facd1a35ad088499b","2026-08-25","Fix remaining album category warnings","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"37","2b7ab9c6ff8bc8471a852eb0fbd685d53a733268","2026-08-25","Document PHP 8 write-path acceptance","not-applicable","","Private acceptance record"
"38","311dcfa88b72e965b776241670e59e0bf2acfbbd","2026-08-25","Modernize album upload progress popup","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
